year,month,investment_100M_yuan
2020,01,74.6
2020,02,138.7
2020,03,286.4
2020,04,302.0
2020,05,309.2
2020,06,546.0
2020,07,349.4
2020,08,328.8
2020,09,559.8
2020,10,446.5
2020,11,676.6
2020,12,680.9
2021,01,79.4
2021,02,147.6
2021,03,313.0
2021,04,312.0
2021,05,373.0
2021,06,509.0
2021,07,369.6
2021,08,347.8
2021,09,592.0
2021,10,472.2
2021,11,715.5
2021,12,720.0
2022,01,109.5
2022,02,203.5
2022,03,282.3
2022,04,297.7
2022,05,370.0
2022,06,642.0
2022,07,333.2
2022,08,313.5
2022,09,533.7
2022,10,425.6
2022,11,698.0
2022,12,803.0
2023,01,111.6
2023,02,207.4
2023,03,323.7
2023,04,341.3
2023,05,416.0
2023,06,721.9
2023,07,351.1
2023,08,324.5
2023,09,552.4
2023,10,440.5
2023,11,667.6
2023,12,817.0
2024,01,114.4
2024,02,212.6
2024,03,439.0
2024,04,463.0
2024,05,474.0
2024,06,837.0
2024,07,407.0
2024,08,383.0
2024,09,652.0
2024,10,520.0
2024,11,788.0
2024,12,793.0
2025,01,131.1
2025,02,243.6
2025,03,502.9
2025,04,530.4
2025,05,632.0
2025,06,814.1
2025,07,395.8
2025,08,372.5
2025,09,634.1
2025,10,505.8
2025,11,766.4
2025,12,771.3
2026,01,122.2
2026,02,227.2
2026,03,469.1
2026,04,494.7
2026,05,506.5
2026,06,894.4
2026,07,434.9
2026,08,409.3
2026,09,696.7
2026,10,555.6
2026,11,842.0
2026,12,847.4
